,City,Category,Age,Gender
0,Kodaikanal,Historical,24,Female
1,Kolkata,Natural,45,Male
2,Varanasi,Historical,14,Male
3,Leh,Religious,47,Male
4,Munnar,Religious,22,Female
5,Hyderabad,Architectural,52,Female
6,Alappuzha,Architectural,65,Female
7,Pune,Architectural,26,Female
8,Jaisalmer,Architectural,65,Female
9,New Delhi,Natural,16,Male
10,Nainital,Architectural,33,Male
11,Almora,Natural,65,Female
12,Munnar,Architectural,33,Male
13,Mysuru (Mysore),Natural,53,Female
14,Varanasi,Historical,40,Male
15,Amritsar,Architectural,52,Female
16,Ooty,Historical,52,Male
17,Jodhpur,Architectural,21,Female
18,Darjeeling,Historical,10,Male
19,Mumbai,Architectural,60,Male
20,New Delhi,Religious,28,Female
21,Nainital,Religious,29,Female
22,Alappuzha,Historical,60,Female
23,Hyderabad,Natural,19,Male
24,Madikeri,Architectural,16,Female
25,Jaipur,Religious,42,Female
26,Mysuru (Mysore),Religious,19,Male
27,Hampi,Architectural,17,Female
28,Madikeri,Religious,63,Male
29,Manali,Natural,60,Female
30,Jaisalmer,Religious,23,Male
31,Jaipur,Natural,60,Male
32,Srinagar,Natural,54,Female
33,Pondicherry,Architectural,48,Male
34,Munnar,Natural,62,Male
35,Bhopal,Architectural,46,Female
36,Hyderabad,Natural,56,Male
37,Aurangabad,Architectural,38,Male
38,Ooty,Architectural,18,Male
39,Nainital,Religious,24,Male
40,Pune,Natural,11,Female
41,Alappuzha,Architectural,28,Female
42,Bhopal,Religious,40,Female
43,Panjim,Religious,36,Female
44,Mumbai,Religious,54,Male
45,Srinagar,Natural,55,Female
46,Nainital,Historical,48,Male
47,Mumbai,Natural,47,Male
48,Hampi,Natural,33,Female
49,Jaipur,Architectural,28,Female
50,Varanasi,Religious,64,Male
51,Hampi,Religious,13,Male
52,Alappuzha,Architectural,32,Female
53,Ooty,Religious,54,Male
54,Mysuru (Mysore),Religious,65,Female
55,Leh,Historical,22,Female
56,Almora,Architectural,65,Female
57,Darjeeling,Religious,14,Male
58,Pondicherry,Architectural,30,Male
59,Pune,Religious,38,Female
60,Darjeeling,Historical,25,Female
61,Amritsar,Historical,39,Male
62,Aurangabad,Historical,18,Male
63,Kolkata,Historical,62,Female
64,Bhopal,Religious,24,Male
65,Mumbai,Natural,55,Male
66,Kanyakumari,Architectural,51,Female
67,Agra,Natural,63,Female
68,Mysuru (Mysore),Historical,43,Female
69,Bhopal,Architectural,41,Female
70,Pondicherry,Architectural,24,Female
71,Madikeri,Religious,39,Male
72,Manali,Natural,12,Male
73,Alappuzha,Architectural,15,Male
74,Mysuru (Mysore),Religious,33,Male
75,Jodhpur,Historical,29,Female
76,Kanyakumari,Architectural,12,Female
77,Alappuzha,Natural,29,Female
78,Manali,Religious,11,Female
79,Madikeri,Architectural,15,Female
80,Ooty,Historical,55,Male
81,Madikeri,Architectural,59,Female
82,Kodaikanal,Historical,57,Female
83,Kodaikanal,Historical,64,Female
84,Mumbai,Religious,47,Female
85,Pune,Historical,20,Male
86,Aurangabad,Religious,18,Male
87,Jaipur,Natural,16,Female
88,Aurangabad,Natural,12,Male
89,Hyderabad,Historical,43,Female
90,Kanyakumari,Natural,34,Female
91,Alappuzha,Historical,51,Male
92,Kodaikanal,Natural,22,Female
93,Pondicherry,Natural,46,Male
94,Hampi,Natural,30,Male
95,Nainital,Architectural,24,Male
96,Manali,Religious,29,Female
97,Pondicherry,Architectural,51,Female
98,Mysuru (Mysore),Natural,45,Female
99,Varanasi,Natural,55,Male
100,Pune,Religious,27,Male
101,New Delhi,Religious,63,Male
102,Nainital,Historical,43,Female
103,Udaipur,Historical,12,Female
104,Munnar,Natural,14,Female
105,Manali,Religious,61,Male
106,Hampi,Historical,45,Female
